"op","ctrl","mass","form","mod","rad","ref","thk"
"waste","P",133,"alpha","ch2",11.43,"ch2",0.635
"machining","M",39,"alpha","none",17.78,"ch2",0.635
"small sample","A",48,"alpha","none",1.27,"mgo",1.27
"solution","A",17,"alpha","none",21.59,"ch2",3.175
"large sample","A",52,"alpha","none",9.525,"mgo",0.635
"large sample","D",10,"alpha","none",5.08,"ss304",0.635
"metallurgy","B",65,"alpha","ch2",15.875,"ch2",0.635
"large sample","A",16,"alpha","none",5.08,"al",3.81
"large sample","A",17,"alpha","ch2",3.175,"mgo",1.27
"small sample","A",16,"alpha","ch2",3.175,"ch2",3.175
"metallurgy","E",126,"alpha","none",0.635,"ch2",0.635
"small sample","A",40,"alpha","none",3.175,"mgo",1.27
"machining","M",35,"alpha","ch2",16.51,"ch2",0.635
"small sample","A",5,"alpha","none",7.62,"ch2",1.27
"small sample","A",58,"alpha","none",3.175,"mgo",1.27
"small sample","A",33,"alpha","none",13.335,"ch2",0.635
"metallurgy","A",21,"alpha","none",8.89,"ch2",2.54
"solution","A",11,"alpha","ch2",1.905,"ch2",1.27
"metallurgy","E",23,"alpha","none",3.175,"mgo",1.27
"waste","P",204,"alpha","none",15.875,"ch2",1.905
"metallurgy","E",51,"alpha","none",1.27,"mgo",0.635
"large sample","E",60,"alpha","none",2.54,"ch2",0.635
"large sample","M",36,"alpha","none",13.335,"mgo",0.635
"machining","A",51,"alpha","none",15.24,"ch2",0.635
"metallurgy","E",110,"alpha","none",1.27,"ch2",0.635
"large sample","A",23,"alpha","mgo",1.27,"ss304",3.175
"large sample","D",63,"alpha","none",5.715,"ch2",0.635
"small sample","A",29,"alpha","none",5.715,"ss304",0.635
"small sample","A",7,"alpha","none",5.08,"ss304",0.635
"waste","P",138,"alpha","ch2",4.445,"mgo",3.175
"metallurgy","A",39,"alpha","none",8.255,"ch2",0.635
"large sample","A",21,"alpha","mgo",6.985,"ss304",3.81
"small sample","A",27,"alpha","none",9.525,"ch2",7.62
"small sample","A",31,"alpha","ch2",22.225,"ss304",0.635
"small sample","A",20,"alpha","ch2",9.525,"ss304",2.54
"small sample","A",43,"alpha","none",10.795,"ss304",0.635
"large sample","C",225,"alpha","none",2.54,"none",0.635
"machining","M",68,"alpha","none",17.78,"ch2",0.635
"small sample","A",43,"alpha","none",6.985,"ss304",0.635
"machining","M",21,"alpha","ch2",19.05,"ch2",1.27
"waste","A",51,"alpha","none",5.08,"ch2",0.635
"machining","A",29,"alpha","none",3.175,"ch2",1.905
"large sample","A",36,"alpha","none",8.89,"ch2",0.635
"machining","M",9,"alpha","none",4.445,"ch2",0.635
"metallurgy","E",52,"alpha","none",3.175,"ss304",0.635
"metallurgy","A",16,"alpha","none",6.35,"ch2",4.445
"small sample","A",39,"alpha","ch2",1.905,"ch2",0.635
"waste","P",70,"alpha","ch2",8.89,"ch2",0.635
"large sample","A",10,"alpha","none",8.255,"ch2",1.27
"metallurgy","A",7,"alpha","none",10.16,"ss304",0.635
"waste","P",38,"alpha","none",8.89,"ss304",1.905
"large sample","M",174,"alpha","none",2.54,"pb",0.635
"small sample","A",14,"alpha","none",8.255,"ch2",1.27
"waste","P",93,"alpha","ch2",11.43,"mgo",0.635
"waste","P",48,"alpha","none",12.7,"mgo",1.27
"small sample","A",36,"alpha","none",0.635,"be",1.27
"metallurgy","A",5,"alpha","none",10.795,"ch2",0.635
"small sample","A",65,"alpha","none",10.16,"ch2",1.27
"machining","M",113,"alpha","none",5.08,"ch2",0.635
"metallurgy","A",20,"alpha","ch2",28.575,"al",0.635
"metallurgy","A",38,"alpha","none",13.97,"ss304",1.27
"large sample","M",51,"alpha","none",18.415,"ss304",0.635
"small sample","A",56,"alpha","none",8.89,"ch2",2.54
"large sample","A",10,"alpha","none",3.175,"ch2",1.27
"large sample","A",13,"alpha","ch2",14.605,"mgo",1.905
"large sample","B",9,"alpha","none",6.985,"mgo",1.27
"solution","A",5,"alpha","none",6.985,"be",1.27
"small sample","A",11,"alpha","none",6.985,"ss304",1.905
"waste","A",50,"alpha","none",5.715,"al",1.905
"metallurgy","A",47,"alpha","ch2",20.32,"ch2",1.905
"small sample","A",55,"alpha","none",6.35,"ch2",1.905
"large sample","M",148,"alpha","none",8.89,"mgo",1.27
"large sample","M",23,"alpha","none",8.255,"mgo",0.635
"small sample","A",38,"alpha","none",8.255,"ch2",2.54
"large sample","D",170,"alpha","ch2",5.715,"ss304",0.635
"small sample","A",30,"alpha","ch2",7.62,"ss304",1.905
"solution","A",8,"alpha","ch2",19.05,"ch2",1.27
"large sample","D",62,"alpha","ch2",3.175,"ch2",0.635
"large sample","D",98,"alpha","ch2",3.175,"pb",0.635
"solution","A",9,"alpha","none",6.35,"ch2",1.905
"small sample","A",20,"alpha","ch2",4.445,"ch2",0.635
"machining","M",43,"alpha","ch2",15.875,"ss304",0.635
"small sample","A",65,"alpha","ch2",5.08,"ch2",1.27
"large sample","M",11,"alpha","none",15.875,"ss304",0.635
"small sample","A",12,"alpha","ch2",8.255,"ss304",2.54
"metallurgy","B",99,"alpha","none",5.08,"mgo",1.27
"machining","M",45,"alpha","none",17.78,"ch2",1.27
"large sample","D",25,"alpha","none",2.54,"ss304",0.635
"large sample","D",24,"alpha","none",1.27,"ss304",0.635
"small sample","A",45,"alpha","none",14.605,"ch2",0.635
"machining","A",50,"alpha","none",15.875,"ss304",1.27
"large sample","C",22,"alpha","none",2.54,"none",0.635
"large sample","A",22,"alpha","ch2",4.445,"ch2",0.635
"small sample","A",41,"alpha","ch2",17.145,"ss304",1.905
"metallurgy","B",69,"alpha","ch2",3.81,"ch2",0.635
"metallurgy","E",46,"alpha","none",2.54,"ch2",0.635
"machining","M",19,"alpha","none",5.715,"ch2",0.635
"metallurgy","A",65,"alpha","none",5.715,"mgo",1.27
"small sample","A",28,"alpha","ch2",8.255,"ch2",5.08
"large sample","A",29,"alpha","none",15.875,"ss304",0.635
"large sample","A",29,"alpha","none",7.62,"du",0.635
"large sample","A",31,"alpha","none",14.605,"pb",0.635
"small sample","A",22,"alpha","none",15.875,"ch2",0.635
"large sample","A",29,"alpha","mgo",6.985,"ch2",0.635
"waste","A",42,"alpha","none",15.875,"du",1.27
"large sample","E",115,"alpha","none",5.08,"ch2",0.635
"large sample","D",85,"alpha","none",2.54,"ch2",0.635
"large sample","A",20,"alpha","ch2",17.78,"mgo",1.27
"solution","A",16,"alpha","none",6.35,"ch2",1.27
"small sample","A",6,"alpha","none",5.715,"ch2",0.635
"large sample","D",15,"alpha","none",12.065,"ch2",0.635
"machining","M",45,"alpha","none",15.24,"ch2",0.635
"large sample","A",20,"alpha","none",10.16,"al",1.27
"small sample","A",65,"alpha","none",10.795,"mgo",3.81
"small sample","A",20,"alpha","none",1.27,"ss304",3.175
"large sample","A",2,"alpha","mgo",28.575,"ch2",3.81
"machining","M",39,"alpha","none",8.89,"ch2",0.635
"metallurgy","A",33,"alpha","none",6.35,"ss304",0.635
"metallurgy","E",52,"alpha","none",1.27,"ch2",0.635
"large sample","A",47,"alpha","none",5.08,"ch2",0.635
"small sample","B",81,"alpha","none",11.43,"mgo",0.635
"large sample","A",11,"alpha","none",12.065,"ss304",3.175
"large sample","M",100,"alpha","none",5.715,"ch2",0.635
"large sample","M",146,"alpha","none",19.05,"ch2",0.635
"large sample","E",139,"alpha","none",0.635,"ss304",0.635
"small sample","A",8,"alpha","none",2.54,"ch2",1.27
"large sample","E",71,"alpha","none",0.635,"ch2",0.635
"small sample","A",13,"alpha","none",5.08,"ch2",0.635
"solution","A",8,"alpha","ch2",1.27,"ch2",0.635
"small sample","A",15,"alpha","none",3.81,"ch2",2.54
"metallurgy","A",44,"alpha","none",5.715,"ss304",1.27
"machining","M",116,"alpha","none",9.525,"ch2",0.635
"large sample","C",51,"alpha","ch2",12.065,"none",0.635
"metallurgy","A",37,"alpha","ch2",13.335,"ss304",0.635
"large sample","A",10,"alpha","none",10.795,"ch2",1.905
"small sample","A",65,"alpha","none",21.59,"ch2",1.27
"large sample","A",30,"alpha","ch2",20.32,"ch2",1.27
"small sample","A",10,"alpha","ch2",18.415,"ch2",2.54
"solution","A",13,"alpha","none",4.445,"ch2",0.635
"solution","A",28,"alpha","ch2",4.445,"ch2",0.635
"large sample","D",78,"alpha","ch2",2.54,"al",0.635
"large sample","A",17,"alpha","none",15.24,"mgo",0.635
"small sample","A",2,"alpha","none",8.89,"ss304",1.905
"waste","P",76,"alpha","ch2",4.445,"mgo",1.905
"large sample","D",86,"alpha","none",2.54,"ss304",0.635
"metallurgy","A",53,"alpha","none",6.985,"ch2",0.635
"metallurgy","A",44,"alpha","ch2",15.875,"ch2",3.175
"large sample","M",159,"alpha","none",13.97,"mgo",0.635
"large sample","M",108,"alpha","ch2",4.445,"al",0.635
"solution","A",17,"alpha","none",17.78,"ch2",0.635
"solution","A",18,"alpha","none",16.51,"ss304",0.635
"small sample","A",6,"alpha","none",13.335,"ch2",0.635
"large sample","A",24,"alpha","mgo",25.4,"ss304",3.175
"small sample","A",27,"alpha","ch2",4.445,"ch2",3.81
"large sample","M",75,"alpha","none",5.715,"du",0.635
"large sample","A",30,"alpha","none",25.4,"ch2",0.635
"small sample","A",42,"alpha","none",1.905,"ch2",0.635
"large sample","A",65,"alpha","none",12.065,"ch2",1.27
"large sample","A",22,"alpha","none",8.89,"ss304",0.635
"small sample","A",65,"alpha","none",6.985,"ch2",1.27
"large sample","D",49,"alpha","none",1.27,"du",0.635
"small sample","A",44,"alpha","none",10.795,"ch2",1.905
"large sample","A",17,"alpha","none",6.35,"ch2",3.175
"small sample","A",19,"alpha","none",15.875,"ch2",1.27
"small sample","A",9,"alpha","ch2",6.985,"ch2",2.54
"large sample","M",13,"alpha","ch2",8.255,"mgo",1.27
"large sample","A",26,"alpha","none",6.35,"ss304",0.635
"waste","A",53,"alpha","none",1.27,"ch2",1.27
"small sample","A",6,"alpha","none",7.62,"ch2",1.905
"small sample","A",11,"alpha","ch2",1.27,"ch2",0.635
"large sample","A",64,"alpha","ch2",15.24,"ss304",1.27
"solution","A",11,"alpha","none",3.175,"pb",1.905
"small sample","A",25,"alpha","none",4.445,"ss304",0.635
"small sample","A",15,"alpha","none",3.175,"mgo",0.635
"metallurgy","E",27,"alpha","none",1.905,"ch2",0.635
"large sample","A",21,"alpha","mgo",1.905,"ch2",1.905
"large sample","A",55,"alpha","none",12.065,"mgo",1.905
"large sample","A",24,"alpha","none",8.89,"mgo",1.27
"large sample","M",123,"alpha","none",5.715,"ch2",0.635
"waste","A",54,"alpha","none",14.605,"mgo",1.905
"small sample","A",11,"alpha","none",6.35,"ch2",1.27
"small sample","A",9,"alpha","none",2.54,"ch2",0.635
"metallurgy","E",173,"alpha","none",2.54,"mgo",0.635
"small sample","A",21,"alpha","none",7.62,"ch2",1.905
"small sample","A",42,"alpha","ch2",4.445,"ch2",3.175
"large sample","A",50,"alpha","none",5.08,"ss304",0.635
"small sample","A",13,"alpha","none",5.715,"ch2",5.715
"waste","P",49,"alpha","none",5.08,"ss304",1.27
"large sample","A",21,"alpha","ch2",9.525,"mgo",0.635
"solution","A",4,"alpha","none",14.605,"ch2",1.905
"metallurgy","A",24,"alpha","none",5.715,"ch2",1.27
"metallurgy","E",25,"alpha","none",1.905,"ss304",0.635
"solution","A",8,"alpha","none",13.97,"al",3.81
"small sample","A",25,"alpha","none",6.985,"ch2",3.175
"large sample","A",18,"alpha","ch2",13.97,"mgo",0.635
"large sample","A",48,"alpha","none",6.985,"al",3.175
"small sample","A",48,"alpha","ch2",2.54,"ch2",1.27
"small sample","A",57,"alpha","none",8.89,"ch2",1.27
"large sample","E",148,"alpha","none",3.175,"pb",0.635
"solution","A",5,"alpha","none",10.16,"ch2",2.54
"small sample","A",51,"alpha","none",11.43,"ch2",1.27
"solution","A",6,"alpha","none",5.715,"ss304",2.54
"metallurgy","A",25,"alpha","none",5.715,"mgo",3.175
"waste","A",54,"alpha","none",3.81,"ch2",1.905
"waste","A",65,"alpha","ch2",10.795,"ch2",2.54
"large sample","M",193,"alpha","none",6.985,"mgo",0.635
"large sample","D",31,"alpha","none",2.54,"mgo",0.635
"small sample","A",65,"alpha","ch2",6.985,"du",0.635
"waste","A",43,"alpha","none",9.525,"ch2",1.27
"metallurgy","B",143,"alpha","none",6.35,"mgo",1.905
"small sample","A",46,"alpha","ch2",10.795,"ss304",3.175
"waste","A",48,"alpha","mgo",11.43,"mgo",3.175
"large sample","A",16,"alpha","none",12.7,"ch2",0.635
"small sample","A",37,"alpha","ch2",6.35,"ch2",0.635
"machining","M",15,"alpha","ch2",6.35,"du",0.635
"large sample","A",24,"alpha","none",12.7,"ch2",0.635
"small sample","A",22,"alpha","none",29.845,"ss304",0.635
"large sample","M",14,"alpha","none",6.35,"ch2",0.635
"small sample","B",168,"alpha","none",7.62,"ch2",0.635
"small sample","A",9,"alpha","none",12.065,"ch2",0.635
"large sample","A",65,"alpha","none",8.89,"ch2",1.27
"machining","A",32,"alpha","none",1.905,"ss304",0.635
"machining","M",11,"alpha","ch2",24.13,"du",1.27
"waste","P",68,"alpha","none",1.27,"ch2",3.175
"small sample","A",65,"alpha","none",2.54,"ch2",0.635
"large sample","A",50,"alpha","none",1.905,"ss304",3.81
"small sample","A",43,"alpha","none",8.255,"ch2",1.27
"large sample","A",42,"alpha","none",3.175,"mgo",1.27
"large sample","D",63,"alpha","none",3.81,"ch2",0.635
"metallurgy","E",92,"alpha","none",1.27,"ch2",0.635
"small sample","A",34,"alpha","none",5.715,"al",0.635
"machining","M",81,"alpha","none",22.225,"ch2",0.635
"large sample","B",51,"alpha","none",6.35,"mgo",0.635
"large sample","M",52,"alpha","ch2",17.145,"al",0.635
"metallurgy","A",60,"alpha","mgo",34.925,"ss304",3.175
"metallurgy","A",32,"alpha","ch2",17.145,"ch2",0.635
"solution","A",19,"alpha","none",20.32,"ch2",2.54
"small sample","A",65,"alpha","none",3.81,"ch2",1.27
"metallurgy","A",24,"alpha","none",8.89,"ss304",0.635
"metallurgy","A",23,"alpha","mgo",19.05,"ch2",0.635
"small sample","A",38,"alpha","ch2",4.445,"ch2",1.27
"small sample","A",11,"alpha","none",11.43,"graphite",0.635
"metallurgy","E",131,"alpha","none",1.905,"ss304",0.635
"large sample","A",36,"alpha","none",11.43,"ch2",1.27
"machining","M",87,"alpha","none",3.175,"ch2",0.635
"large sample","A",47,"alpha","none",13.97,"ch2",2.54
"large sample","C",28,"alpha","none",3.81,"none",0.635
"small sample","A",5,"alpha","none",10.16,"ch2",0.635
"small sample","A",16,"alpha","none",9.525,"ch2",0.635
"small sample","A",5,"alpha","none",14.605,"ch2",1.905
"large sample","A",53,"alpha","ch2",18.415,"mgo",0.635
"metallurgy","E",162,"alpha","none",0.635,"ss304",0.635
"solution","A",8,"alpha","none",10.795,"pb",0.635
"large sample","E",128,"alpha","none",3.175,"ss304",0.635
"waste","A",65,"alpha","none",7.62,"ch2",1.27
"large sample","E",29,"alpha","none",1.27,"be",0.635
"large sample","A",29,"alpha","none",15.24,"ss304",2.54
"large sample","E",14,"alpha","none",1.905,"ch2",1.27
"metallurgy","A",24,"alpha","none",20.32,"ss304",2.54
"solution","A",25,"alpha","ch2",6.35,"du",0.635
"small sample","B",49,"alpha","none",1.905,"ch2",2.54
"small sample","A",24,"alpha","ch2",12.7,"ch2",0.635
"large sample","A",37,"alpha","none",12.7,"ss304",0.635
"small sample","A",65,"alpha","ch2",19.05,"ch2",0.635
"metallurgy","E",79,"alpha","none",1.27,"ch2",0.635
"small sample","A",9,"alpha","none",6.985,"ch2",1.905
"metallurgy","A",65,"alpha","none",6.35,"du",2.54
"metallurgy","E",179,"alpha","none",1.905,"du",0.635
"metallurgy","A",10,"alpha","none",22.86,"ss304",1.27
"large sample","A",5,"alpha","none",8.89,"mgo",3.175
"large sample","M",42,"alpha","none",8.255,"ss304",0.635
"large sample","A",38,"alpha","none",10.795,"ch2",2.54
"small sample","A",25,"alpha","none",5.715,"mgo",1.905
"small sample","A",45,"alpha","none",8.255,"ch2",1.27
"large sample","D",28,"alpha","none",1.905,"ss304",0.635
"large sample","D",44,"alpha","none",2.54,"mgo",0.635
"solution","A",22,"alpha","none",13.97,"ss304",0.635
"large sample","A",17,"alpha","none",20.955,"mgo",4.445
"large sample","D",178,"alpha","none",4.445,"ss304",0.635
"metallurgy","A",11,"alpha","ch2",5.08,"ch2",1.27
"large sample","A",31,"alpha","none",16.51,"ch2",1.905
"metallurgy","A",7,"alpha","ch2",3.81,"ss304",0.635
"solution","A",5,"alpha","none",7.62,"al",2.54
"metallurgy","A",6,"alpha","none",3.175,"ss304",1.27
"small sample","B",3,"alpha","ch2",1.27,"ch2",1.905
"small sample","A",65,"alpha","none",10.16,"al",1.27
"small sample","A",26,"alpha","none",4.445,"ch2",0.635
"small sample","A",13,"alpha","none",13.335,"ch2",1.27
"solution","A",24,"alpha","none",10.16,"al",1.27
"solution","A",28,"alpha","none",5.08,"du",0.635
"large sample","M",181,"alpha","none",9.525,"ch2",0.635
"small sample","A",11,"alpha","ch2",8.89,"ch2",0.635
"large sample","C",82,"alpha","none",4.445,"none",0.635
"large sample","A",23,"alpha","ch2",13.97,"ch2",1.27
"small sample","A",65,"alpha","ch2",24.13,"ss304",0.635
"large sample","D",134,"alpha","none",5.715,"ch2",0.635
"waste","P",46,"alpha","none",6.985,"ch2",0.635
"small sample","A",14,"alpha","none",10.795,"ch2",3.81
"large sample","D",31,"alpha","none",3.175,"be",0.635
"solution","A",6,"alpha","none",4.445,"ch2",3.175
"small sample","A",40,"alpha","none",3.81,"ch2",0.635
"large sample","A",22,"alpha","none",16.51,"ch2",3.81
"large sample","D",75,"alpha","mgo",1.27,"ch2",0.635
"small sample","A",65,"alpha","none",3.81,"mgo",1.27
"waste","A",37,"alpha","none",5.715,"mgo",2.54
"waste","P",117,"alpha","none",27.94,"du",0.635
"small sample","A",5,"alpha","none",12.065,"ch2",0.635
"solution","A",6,"alpha","none",9.525,"ch2",1.27
"large sample","A",23,"alpha","none",2.54,"ch2",3.81
"large sample","A",65,"alpha","none",4.445,"mgo",0.635
"small sample","A",65,"alpha","none",9.525,"ch2",1.905
"small sample","A",7,"alpha","ch2",6.35,"ch2",0.635
"large sample","M",111,"alpha","none",5.715,"ch2",0.635
"metallurgy","A",13,"alpha","ch2",8.255,"ch2",3.175
"large sample","C",94,"alpha","none",1.27,"none",0.635
"machining","M",38,"alpha","ch2",8.255,"ch2",1.27
"small sample","A",65,"alpha","ch2",6.35,"ss304",1.27
"metallurgy","E",15,"alpha","none",3.175,"al",0.635
"large sample","D",65,"alpha","none",6.35,"ch2",0.635
"large sample","D",50,"alpha","none",5.715,"mgo",0.635
"solution","A",3,"alpha","none",5.08,"ch2",0.635
"small sample","A",11,"alpha","none",1.27,"ch2",0.635
"waste","P",64,"alpha","none",3.81,"mgo",1.27
"large sample","A",4,"alpha","mgo",12.7,"mgo",1.905
"metallurgy","A",15,"alpha","none",12.065,"ch2",1.905
"small sample","A",18,"alpha","none",7.62,"ch2",0.635
"metallurgy","B",42,"alpha","mgo",2.54,"ch2",0.635
"small sample","A",35,"alpha","none",6.35,"ch2",2.54
"waste","A",61,"alpha","ch2",9.525,"be",2.54
"small sample","A",7,"alpha","ch2",33.02,"ch2",0.635
"large sample","D",23,"alpha","none",7.62,"ss304",0.635
"waste","A",23,"alpha","none",18.415,"mgo",3.175
"metallurgy","A",13,"alpha","none",8.89,"mgo",0.635
"machining","A",32,"alpha","none",3.81,"ch2",2.54
"metallurgy","A",36,"alpha","none",5.08,"ss304",1.27
"small sample","A",12,"alpha","none",1.27,"mgo",0.635
"large sample","A",53,"alpha","none",6.985,"mgo",1.27
"solution","A",6,"alpha","none",8.89,"be",1.905
"machining","M",61,"alpha","none",31.75,"ch2",0.635
"large sample","D",19,"alpha","none",0.635,"ch2",0.635
"solution","A",15,"alpha","none",7.62,"be",0.635
"machining","M",53,"alpha","none",4.445,"ch2",1.27
"large sample","D",165,"alpha","none",10.16,"ss304",0.635
"solution","A",9,"alpha","none",6.35,"ch2",3.175
"waste","A",42,"alpha","none",10.795,"mgo",2.54
"solution","A",26,"alpha","none",13.97,"ch2",3.175
"large sample","D",36,"alpha","none",5.08,"mgo",0.635
"solution","A",10,"alpha","none",9.525,"ss304",0.635
"large sample","D",119,"alpha","none",8.255,"ch2",0.635
"small sample","A",48,"alpha","none",12.065,"ch2",5.715
"small sample","A",8,"alpha","none",6.985,"ch2",0.635
"large sample","M",16,"alpha","none",5.715,"al",0.635
"large sample","A",30,"alpha","none",9.525,"ss304",0.635
"large sample","D",140,"alpha","none",1.905,"ch2",0.635
"large sample","A",48,"alpha","none",14.605,"du",1.905
"large sample","A",61,"alpha","none",13.335,"du",3.81
"large sample","E",213,"alpha","none",2.54,"ch2",0.635
"metallurgy","E",25,"alpha","none",1.27,"ss304",1.27
"large sample","M",156,"alpha","none",6.985,"ch2",0.635
"large sample","A",29,"alpha","none",13.335,"ch2",1.27
"large sample","A",11,"alpha","ch2",26.67,"ch2",0.635
"small sample","A",29,"alpha","none",5.715,"ch2",0.635
"machining","M",102,"alpha","none",15.24,"ch2",0.635
"small sample","B",8,"alpha","none",3.175,"ch2",1.27
"large sample","D",120,"alpha","none",1.27,"mgo",0.635
"large sample","D",247,"alpha","none",8.89,"mgo",0.635
"large sample","A",8,"alpha","none",5.08,"ch2",0.635
"large sample","A",38,"alpha","mgo",7.62,"ss304",0.635
"large sample","A",28,"alpha","none",0.635,"ch2",0.635
"machining","M",51,"alpha","none",21.59,"al",0.635
"large sample","A",9,"alpha","none",5.715,"ch2",0.635
"small sample","A",8,"alpha","none",12.065,"ch2",1.905
"metallurgy","E",17,"alpha","none",0.635,"mgo",0.635
"small sample","A",18,"alpha","none",1.905,"mgo",0.635
"large sample","E",2,"alpha","none",3.81,"al",0.635
"solution","A",41,"alpha","none",1.27,"ss304",1.27
"metallurgy","A",6,"alpha","mgo",29.845,"ch2",0.635
"small sample","A",30,"alpha","none",4.445,"ch2",1.27
"large sample","E",51,"alpha","none",1.27,"ch2",1.27
"solution","A",25,"alpha","none",5.715,"ch2",0.635
"metallurgy","A",64,"alpha","ch2",2.54,"mgo",2.54
"waste","A",16,"alpha","none",13.335,"mgo",0.635
"small sample","A",9,"alpha","none",1.27,"ch2",2.54
"small sample","A",55,"alpha","none",11.43,"ch2",1.905
"large sample","A",12,"alpha","none",3.175,"pb",1.27
"large sample","E",176,"alpha","none",2.54,"ss304",0.635
"large sample","A",55,"alpha","none",9.525,"ss304",0.635
"small sample","A",6,"alpha","none",21.59,"ch2",0.635
"small sample","A",23,"alpha","none",2.54,"ch2",0.635
"metallurgy","A",51,"alpha","none",18.415,"mgo",1.905
"metallurgy","A",8,"alpha","none",3.175,"ss304",1.27
"large sample","A",65,"alpha","none",6.35,"ch2",3.81
"solution","A",11,"alpha","none",9.525,"ch2",5.08
"small sample","B",88,"alpha","ch2",5.08,"du",1.905
"solution","A",7,"alpha","none",7.62,"ch2",1.27
"small sample","A",21,"alpha","none",9.525,"ss304",1.905
"large sample","A",17,"alpha","none",5.715,"ch2",1.27
"machining","M",51,"alpha","none",9.525,"ch2",1.27
"solution","A",11,"alpha","none",1.905,"ch2",1.905
"small sample","A",2,"alpha","none",6.985,"ch2",3.175
"small sample","A",59,"alpha","none",5.715,"ch2",5.715
"solution","A",19,"alpha","none",14.605,"ch2",1.27
"metallurgy","A",39,"alpha","none",13.97,"mgo",1.905
"large sample","D",91,"alpha","none",0.635,"ch2",0.635
"large sample","D",34,"alpha","none",0.635,"mgo",0.635
"small sample","A",13,"alpha","none",6.35,"al",1.27
"solution","A",37,"alpha","none",10.795,"du",0.635
"small sample","A",11,"alpha","none",0.635,"pb",1.905
"small sample","B",86,"alpha","none",2.54,"ch2",1.905
"large sample","A",21,"alpha","none",8.89,"ss304",1.27
"large sample","A",42,"alpha","none",6.985,"mgo",1.905
"metallurgy","B",97,"alpha","none",3.81,"ss304",1.27
"small sample","A",47,"alpha","none",2.54,"ch2",0.635
"small sample","A",44,"alpha","none",6.985,"ch2",0.635
"machining","M",120,"alpha","ch2",20.955,"ch2",0.635
"large sample","A",14,"alpha","none",10.16,"ss304",4.445
"solution","A",5,"alpha","none",24.765,"ch2",5.08
"solution","A",12,"alpha","ch2",13.97,"pb",0.635
"metallurgy","A",49,"alpha","none",8.255,"ss304",2.54
"solution","A",15,"alpha","none",6.985,"ch2",0.635
"solution","A",23,"alpha","none",8.89,"ch2",1.905
"solution","A",24,"alpha","none",10.16,"al",0.635
"small sample","A",53,"alpha","none",5.08,"ch2",2.54
"small sample","A",65,"alpha","ch2",8.255,"ch2",0.635
"solution","A",13,"alpha","none",22.225,"ch2",3.81
"large sample","D",37,"alpha","none",3.81,"ch2",0.635
"solution","A",22,"alpha","ch2",27.94,"ch2",1.27
"small sample","A",30,"alpha","ch2",8.89,"ch2",0.635
"large sample","D",36,"alpha","none",0.635,"ss304",0.635
"large sample","C",25,"alpha","ch2",5.08,"none",0.635
"small sample","A",40,"alpha","none",14.605,"mgo",0.635
"large sample","D",206,"alpha","none",6.35,"ss304",0.635
"large sample","A",30,"alpha","none",3.175,"ch2",3.175
"large sample","A",65,"alpha","none",5.08,"mgo",2.54
"small sample","A",49,"alpha","none",3.81,"mgo",1.27
"large sample","A",19,"alpha","none",18.415,"ch2",0.635
"small sample","A",41,"alpha","none",7.62,"ch2",2.54
"large sample","A",65,"alpha","none",22.225,"ss304",1.27
"small sample","A",41,"alpha","none",12.065,"ch2",2.54
"large sample","A",40,"alpha","none",4.445,"ss304",1.27
"machining","M",54,"alpha","none",6.985,"ss304",0.635
"small sample","B",71,"alpha","none",6.35,"ch2",1.27
"machining","M",17,"alpha","ch2",2.54,"mgo",0.635
"large sample","A",11,"alpha","ch2",17.145,"ch2",0.635
"large sample","M",147,"alpha","none",10.795,"ss304",0.635
"large sample","D",82,"alpha","mgo",4.445,"ch2",0.635
"large sample","C",67,"alpha","none",3.175,"none",0.635
"waste","A",47,"alpha","none",0.635,"ch2",0.635
"large sample","A",52,"alpha","none",3.175,"mgo",1.27
"large sample","A",36,"alpha","none",1.27,"mgo",2.54
"machining","M",50,"alpha","ch2",0.635,"al",1.27
"machining","M",44,"alpha","none",1.905,"ch2",0.635
"metallurgy","A",24,"alpha","ch2",17.78,"ch2",0.635
"solution","A",5,"alpha","none",2.54,"ss304",4.445
"small sample","A",32,"alpha","none",0.635,"ch2",1.27
"large sample","D",73,"alpha","none",5.08,"ch2",0.635
"solution","A",2,"alpha","none",6.35,"ss304",5.715
"solution","A",23,"alpha","ch2",21.59,"ch2",1.27
"large sample","B",75,"alpha","mgo",8.89,"ch2",0.635
"machining","M",88,"alpha","none",8.89,"du",1.27
"large sample","A",35,"alpha","ch2",7.62,"ch2",0.635
"large sample","D",73,"alpha","none",3.175,"ss304",0.635
"small sample","A",23,"alpha","ch2",23.495,"ss304",0.635
"small sample","A",36,"alpha","none",1.905,"mgo",1.27
"waste","P",205,"alpha","none",7.62,"mgo",0.635
"large sample","A",28,"alpha","none",9.525,"mgo",4.445
"large sample","M",107,"alpha","none",10.16,"ss304",0.635
"small sample","A",65,"alpha","ch2",3.175,"ch2",0.635
"large sample","A",37,"alpha","none",10.16,"ch2",2.54
"metallurgy","E",88,"alpha","none",2.54,"ss304",0.635
"large sample","A",13,"alpha","none",2.54,"ch2",2.54
"small sample","A",65,"alpha","none",6.985,"ch2",1.905
"small sample","A",16,"alpha","none",5.08,"ch2",0.635
"large sample","D",55,"alpha","none",2.54,"mgo",0.635
"large sample","C",68,"alpha","none",3.175,"ch2",0.635
"small sample","A",57,"alpha","none",2.54,"ch2",1.905
"large sample","D",50,"alpha","none",4.445,"mgo",0.635
